HSHD_NUM,L,AGE_RANGE,MARITAL,INCOME_RANGE,HOMEOWNER,HSHD_COMPOSITION,HH_SIZE,CHILDREN
422,True,35-44,Single,50-74K,Homeowner,1 Adult and Kids,5+,3+
428,True,75+,Married,35-49K,Homeowner,2 Adults,2,null
438,True,35-44,Single,150K+,Renter,1 Adult and Kids,2,1
453,True,19-24,Married,150K+,Homeowner,2 Adults,2,null
455,True,45-54,Married,75-99K,Homeowner,2 Adults and Kids,5+,3+
459,False,55-64,Married,50-74K,Homeowner,2 Adults and Kids,3,1
482,False,35-44,Single,50-74K,Homeowner,1 Adult,1,null
514,True,65-74,Married,75-99K,Homeowner,2 Adults and Kids,null,null
525,True,55-64,Single,UNDER 35K,Homeowner,1 Adult and Kids,2,1
554,False,55-64,Single,UNDER 35K,null,Single Female,1,null
575,True,65-74,Single,50-74K,Homeowner,Single Male,1,null
577,True,65-74,Married,UNDER 35K,Homeowner,2 Adults,2,null
590,True,55-64,Married,35-49K,Homeowner,2 Adults and Kids,5+,3+
594,False,35-44,Single,35-49K,Homeowner,1 Adult and Kids,2,1
605,False,55-64,Married,UNDER 35K,Homeowner,2 Adults and Kids,3,1
616,True,null,null,null,null,null,null,null
631,True,65-74,Married,35-49K,Homeowner,2 Adults and Kids,null,null
632,True,55-64,Married,50-74K,Homeowner,2 Adults,2,null
642,False,45-54,Single,35-49K,Homeowner,1 Adult and Kids,2,1
651,True,null,null,null,null,null,null,null
655,False,65-74,Single,UNDER 35K,Homeowner,1 Adult,1,null
682,False,45-54,Single,35-49K,Homeowner,1 Adult and Kids,3,2
692,True,65-74,Married,50-74K,Homeowner,2 Adults and Kids,null,null
720,True,65-74,Married,75-99K,Homeowner,2 Adults,2,null
733,False,65-74,Single,UNDER 35K,Homeowner,1 Adult,1,null
762,False,45-54,Single,50-74K,Renter,1 Adult and Kids,2,1
764,True,35-44,Single,100-150K,Homeowner,1 Adult and Kids,2,1
766,True,65-74,Married,UNDER 35K,Homeowner,2 Adults and Kids,3,1
779,True,null,Single,50-74K,Homeowner,Single Female,1,null
780,True,55-64,Married,50-74K,Homeowner,2 Adults and Kids,3,1
789,True,55-64,Married,150K+,Homeowner,2 Adults and Kids,3,1
794,True,75+,Single,35-49K,Homeowner,Single Female,1,null
801,True,45-54,Married,50-74K,Homeowner,2 Adults and Kids,3,1
808,True,75+,Married,UNDER 35K,Homeowner,2 Adults,2,null
812,True,55-64,Married,50-74K,null,2 Adults,2,null
815,True,55-64,Married,UNDER 35K,Homeowner,2 Adults,2,null
826,True,45-54,Married,50-74K,Homeowner,2 Adults and Kids,5+,3+
839,True,65-74,Single,35-49K,Homeowner,1 Adult,1,null
845,True,45-54,Single,UNDER 35K,Renter,1 Adult and Kids,2,1
881,True,75+,Married,35-49K,null,2 Adults,2,null
915,True,55-64,Married,100-150K,Homeowner,2 Adults,2,null
916,False,65-74,Married,100-150K,Homeowner,2 Adults and Kids,3,1
918,True,55-64,null,150K+,Homeowner,2 Adults,2,null
982,True,55-64,Married,75-99K,Homeowner,2 Adults,2,null
984,True,45-54,Married,50-74K,Homeowner,2 Adults and Kids,3,1
986,True,null,Single,35-49K,Renter,Single Female,1,null
991,True,25-34,Single,50-74K,Renter,Single Male,1,null
992,True,35-44,Single,75-99K,Renter,Single Male,1,null
1012,False,65-74,Married,UNDER 35K,Homeowner,2 Adults and Kids,3,1
1015,True,45-54,Single,UNDER 35K,Homeowner,1 Adult and Kids,4,3+
1020,True,55-64,Married,150K+,Homeowner,2 Adults and Kids,4,2
1034,True,25-34,Single,35-49K,Renter,1 Adult and Kids,5+,3+
1080,True,45-54,Married,150K+,Homeowner,2 Adults and Kids,4,2
1082,True,35-44,Single,UNDER 35K,Renter,Single Male,1,null
1102,True,35-44,Married,75-99K,Homeowner,2 Adults and Kids,5+,3+
1112,True,55-64,Married,150K+,Homeowner,2 Adults,2,null
1120,True,45-54,Single,35-49K,Homeowner,1 Adult and Kids,2,1
1121,False,55-64,Single,35-49K,Homeowner,1 Adult and Kids,2,1
1122,False,55-64,Single,100-150K,Homeowner,1 Adult and Kids,4,3+
1132,True,65-74,Single,35-49K,Homeowner,Single Female,1,null
1137,True,35-44,Married,75-99K,Homeowner,2 Adults and Kids,4,2
1165,True,55-64,Single,35-49K,Homeowner,Single Male,1,null
